SpName,varText,,Groups,Obs_Occ,biasSum,Prop_reports,Exp_Occ,Chi_Val,CompareVal
Abies_procera,VX,G,5,1,903895,0.223,92.322,90.3328,lesser
Abies_procera,VN,G,1,90,953258,0.2352,97.3728,0.5582,lesser
Abies_procera,VN,G,2,101,814172,0.2009,83.1726,3.8212,greater
Abies_procera,VN,G,3,184,982574,0.2425,100.395,69.6229,greater
Abies_procera,VN,G,4,21,664034,0.1639,67.8546,32.3538,lesser
Abies_procera,VN,G,5,18,638439,0.1575,65.205,34.1739,lesser
Acacia_rigidula,TX,G,1,1,901798,0.2225,11.57,9.6564,lesser
Acacia_rigidula,TX,G,2,51,1031725,0.2546,13.2392,107.7012,greater
Acacia_rigidula,TX,G,3,1,653130,0.1612,8.3824,6.5017,lesser
Acacia_rigidula,TX,G,4,51,610776,0.1507,7.8364,237.749,greater
Acacia_rigidula,TX,G,5,1,855048,0.211,10.972,9.0631,lesser
Acacia_rigidula,TN,G,1,52,1303793,0.3217,16.7284,74.3697,greater
Acacia_rigidula,TN,G,2,52,1121833,0.2768,14.3936,98.2549,greater
Acacia_rigidula,TN,G,3,52,875179,0.216,11.232,147.9727,greater
Acacia_rigidula,TN,G,4,52,457583,0.1129,5.8708,362.4554,greater
Acacia_rigidula,TN,G,5,52,294089,0.0726,3.7752,616.0286,greater
Acacia_rigidula,VX,G,1,1,1081752,0.2669,13.8788,11.9509,lesser
Acacia_rigidula,VX,G,2,1,953847,0.2354,12.2408,10.3225,lesser
Acacia_rigidula,VX,G,3,1,452120,0.1116,5.8032,3.9755,lesser
Acacia_rigidula,VX,G,4,49,660863,0.1631,8.4812,193.5779,greater
Acacia_rigidula,VX,G,5,1,903895,0.223,11.596,9.6822,lesser
Acacia_rigidula,VN,G,1,6,953258,0.2352,12.2304,3.1739,lesser
Acacia_rigidula,VN,G,2,30,814172,0.2009,10.4468,36.5976,greater
Acacia_rigidula,VN,G,3,11,982574,0.2425,12.61,0.2056,lesser
Acacia_rigidula,VN,G,4,2,664034,0.1639,8.5228,4.9921,lesser
Acacia_rigidula,VN,G,5,3,638439,0.1575,8.19,3.2889,lesser
Acer_circinatum,TX,G,1,2518,901798,0.2225,975.44,2439.4031,greater
Acer_circinatum,TX,G,2,1530,1031725,0.2546,1116.1664,153.4343,greater
Acer_circinatum,TX,G,3,204,653130,0.1612,706.7008,357.5885,lesser
Acer_circinatum,TX,G,4,119,610776,0.1507,660.6688,444.1031,lesser
Acer_circinatum,TX,G,5,13,855048,0.211,925.024,899.2067,lesser
Acer_circinatum,TN,G,1,10,1303793,0.3217,1410.3328,1390.4037,lesser
Acer_circinatum,TN,G,2,2561,1121833,0.2768,1213.4912,1496.3273,greater
Acer_circinatum,TN,G,3,1533,875179,0.216,946.944,362.7053,greater
Acer_circinatum,TN,G,4,260,457583,0.1129,494.9536,111.5321,lesser
Acer_circinatum,TN,G,5,20,294089,0.0726,318.2784,279.5352,lesser
Acer_circinatum,VX,G,1,2506,1081752,0.2669,1170.0896,1525.2307,greater
Acer_circinatum,VX,G,2,1471,953847,0.2354,1031.9936,186.7518,greater
Acer_circinatum,VX,G,3,225,452120,0.1116,489.2544,142.7282,lesser
Acer_circinatum,VX,G,4,172,660863,0.1631,715.0304,412.4049,lesser
Acer_circinatum,VX,G,5,10,903895,0.223,977.632,957.7343,lesser
Acer_circinatum,VN,G,1,163,953258,0.2352,1031.1168,730.884,lesser
Acer_circinatum,VN,G,2,795,814172,0.2009,880.7456,8.3478,lesser
Acer_circinatum,VN,G,3,1621,982574,0.2425,1063.12,292.7516,greater
Acer_circinatum,VN,G,4,830,664034,0.1639,718.5376,17.2905,greater
Acer_circinatum,VN,G,5,975,638439,0.1575,690.48,117.2396,greater
Acer_floridanum,TX,G,1,58,901798,0.2225,22.9175,53.7049,greater
Acer_floridanum,TX,G,2,45,1031725,0.2546,26.2238,13.4437,greater
Acer_floridanum,TX,G,3,58,653130,0.1612,16.6036,103.2103,greater
Acer_floridanum,TX,G,4,45,610776,0.1507,15.5221,55.9813,greater
Acer_floridanum,TX,G,5,58,855048,0.211,21.733,60.5207,greater
Acer_floridanum,TN,G,1,86,1303793,0.3217,33.1351,84.3425,greater
